review,label_vader,label_flair,label_zeroshot,clean_review
singin' in the pain,negative,negative,negative,singin in the pain
"I cried like a baby, got some loud assholes kicked out of the theater, and accidentally got into the wrong car and scared the shit out of some random lady! BEST NIGHT! I FUCKING LOVE LA LA LAND! BEST MOVIE EVER!",positive,positive,positive,i cried like a baby got some loud assholes kicked out of the theater and accidentally got into the wrong car and scared the shit out of some random lady best night i fucking love la la land best movie ever
why was john legend such a jump-scare,negative,negative,negative,why was john legend such a jump scare
ryan gosling got that golden globe for being the first person ever to act miserable while playing take on me - aha,negative,negative,positive,ryan gosling got that golden globe for being the first person ever to act miserable while playing take on me aha
"""5 years later"" is where I draw the line",positive,positive,negative,5 years later is where i draw the line
Why does the opening song have the same melody as the crab rave song,positive,negative,negative,why does the opening song have the same melody as the crab rave song
I love Ryan Gosling I love Emma Stone I love City of stars I love Another day of sun I love someone in the crowd I love the cinematography I love the costumes I love the acting I LOVE THIS MOVIE.,positive,positive,positive,i love ryan gosling i love emma stone i love city of stars i love another day of sun i love someone in the crowd i love the cinematography i love the costumes i love the acting i love this movie
"i literally have not and will not ever see a movie better than this, we really do not deserve movies this good.",positive,negative,negative,i literally have not and will not ever see a movie better than this we really do not deserve movies this good
free serotonin!,positive,positive,positive,free serotonin
damien chazelle saw the ‘gotta go my own way’ scene in high school musical 2 and really made a whole movie out of it,positive,positive,positive,damien chazelle saw the gotta go my own way scene in high school musical 2 and really made a whole movie out of it
it’s a perfect movie,positive,positive,positive,it s a perfect movie
sebastian has set up such unrealistic expectations for men. they should all just give up,positive,negative,negative,sebastian has set up such unrealistic expectations for men they should all just give up
due to personal reasons i will be passing away,positive,negative,negative,due to personal reasons i will be passing away
watched this on the flight to LA and it put me in such a good mood im gonna dance down the I-405 and i don't care if some dude in a lamborghini going 500mph fucking annihilates me,positive,positive,positive,watched this on the flight to la and it put me in such a good mood im gonna dance down the i 405 and i dont care if some dude in a lamborghini going 500mph fucking annihilates me
that post about how emma stone looks like a bitmoji ruined my fucking life,negative,negative,negative,that post about how emma stone looks like a bitmoji ruined my fucking life
"Jacques Demy for the digital age... walks the uneasy bridge between romance and reality almost as nimbly as Singin' in the Rain did the one between silent films and talkies. i think this is a more difficult — and more rewarding — film than some people are expecting, or will be interested in seeing. the way it disintegrates from the technicolor to the quotidian, from a romance about movies to a movie about romance... it's a bold move, executed to…",positive,positive,positive,jacques demy for the digital age walks the uneasy bridge between romance and reality almost as nimbly as singin in the rain did the one between silent films and talkies i think this is a more difficult and more rewarding film than some people are expecting or will be interested in seeing the way it disintegrates from the technicolor to the quotidian from a romance about movies to a movie about romance its a bold move executed to
i think i’ve seen this film before and i didn’t like the ending,positive,negative,negative,i think i ve seen this film before and i didn t like the ending
Insane how this movie can make you both extremely happy and extremely sad,negative,positive,positive,insane how this movie can make you both extremely happy and extremely sad
"Good news for everyone who hates this film: this is the first time I've watched it that made me go ""hmmm okay parts of this movie are very very corny."" Bad news for those same people: I still think the opening is so beautiful and celebratory and exuberant in a way I want more movies to be, I still think Emma Stone is so fucking fantastic and deserved the Best Actress Oscar, and Damien Chazelle deserved his Best Director Oscar! This movie rules!!!!!!!!",positive,negative,positive,good news for everyone who hates this film this is the first time ive watched it that made me go hmmm okay parts of this movie are very very corny bad news for those same people i still think the opening is so beautiful and celebratory and exuberant in a way i want more movies to be i still think emma stone is so fucking fantastic and deserved the best actress oscar and damien chazelle deserved his best director oscar this movie rules
watched again with the hope that the end would magically change,positive,positive,positive,watched again with the hope that the end would magically change
i want emma stone and ryan gosling to tap dance on my face,positive,positive,negative,i want emma stone and ryan gosling to tap dance on my face
the reason i love la la land so much is because it captured a feeling... sky with no ceiling... the sunset without a frame,positive,positive,positive,the reason i love la la land so much is because it captured a feeling sky with no ceiling the sunset without a frame
"i realize i’m such a cliché for saying this, but this movie really is the reason why i’m out here. it’s the reason i do anything . i’ve heard every complaint and critique and i just don’t care - this is the purest form of movie magic i’ve ever experienced and simply one of the most impactful and influential movies i’ve ever seen period . it never shies away from how hard it is out here and how damn near impossible it is…",positive,positive,positive,i realize i m such a cliché for saying this but this movie really is the reason why i m out here it s the reason i do anything i ve heard every complaint and critique and i just don t care this is the purest form of movie magic i ve ever experienced and simply one of the most impactful and influential movies i ve ever seen period it never shies away from how hard it is out here and how damn near impossible it is
"Rewatched this because Dunkey told me to and surprise surprise it's still magnificent. I'm not super into Ryan Gosling's performance but the gorgeous cinematography, breathtaking musical numbers, electric romantic chemistry, and sublime writing perfectly illustrate why Damien Chazelle is an absolute master of his craft. Not quite as perfect as Whiplash, but it does have the slightly better ending. Hell, maybe the best ending I've ever seen in a movie.",positive,positive,positive,rewatched this because dunkey told me to and surprise surprise its still magnificent im not super into ryan goslings performance but the gorgeous cinematography breathtaking musical numbers electric romantic chemistry and sublime writing perfectly illustrate why damien chazelle is an absolute master of his craft not quite as perfect as whiplash but it does have the slightly better ending hell maybe the best ending ive ever seen in a movie
"Perfect movie, perfect movie, perfect movie, perfect movie. Never not hitting.",positive,positive,positive,perfect movie perfect movie perfect movie perfect movie never not hitting
what do you mean you don't like jazz?,negative,positive,negative,what do you mean you dont like jazz
PEOPLE 👏 LOVE 👏 WHAT 👏 OTHER 👏 PEOPLE 👏 ARE 👏 PASSIONATE 👏 ABOUT 👏,positive,positive,positive,people love what other people are passionate about
"Occasionally a nice tonic, and pretty, but mostly a timid musical mixed with a bland romance. How the guy who made WHIPLASH failed...no, scratch that, barely even tried to make this take off until the last 20 minutes or so is baffling. Why does this plateau as soon as they get together? Why is so much of this (like say their one argument or the stories of their respective hopes) not in song? Where did all of Chazelle's energy go?",positive,negative,negative,occasionally a nice tonic and pretty but mostly a timid musical mixed with a bland romance how the guy who made whiplash failed no scratch that barely even tried to make this take off until the last 20 minutes or so is baffling why does this plateau as soon as they get together why is so much of this like say their one argument or the stories of their respective hopes not in song where did all of chazelles energy go
"this single handedly reinvented musicals, singing, dancing, cinematography, comedy, seasons of the year, the piano, every color on the entire color spectrum, romance, jazz and pure joy also: 1. in the middle of the ending the projector messed up and so they played it back and i got to cry over that spectacular ending twice in a row, and 2. i met damien chazelle!",positive,positive,positive,this single handedly reinvented musicals singing dancing cinematography comedy seasons of the year the piano every color on the entire color spectrum romance jazz and pure joy also 1 in the middle of the ending the projector messed up and so they played it back and i got to cry over that spectacular ending twice in a row and 2 i met damien chazelle
"Admittedly, the storyline did lose me at certain points, but the phenomenal use of colour, lighting and music certainly made for a compelling watch. I can confirm that I did in fact enjoy this.",positive,positive,positive,admittedly the storyline did lose me at certain points but the phenomenal use of colour lighting and music certainly made for a compelling watch i can confirm that i did in fact enjoy this
i literally started crying before i even pressed play,negative,negative,negative,i literally started crying before i even pressed play
you can’t just drive up to the griffith observatory door like that you would get arrested so fast,negative,negative,negative,you can t just drive up to the griffith observatory door like that you would get arrested so fast
"Ayer fue una hermosa tarde de lluvia y la pasé encerrado en mi casa escribiendo, con Leia durmiendo al lado mío y el ruido del agua y los truenos de fondo. Una maravilla. Pero el universo, que es tremendo sorete, le gusta equilibrar las cosas y por eso a las nueve de la noche se cortó la luz para no volver. Me quedé un rato largo sentado en el sillón en plan “en un momento así solo se puede reír” …",negative,negative,positive,ayer fue una hermosa tarde de lluvia y la pasé encerrado en mi casa escribiendo con leia durmiendo al lado mío y el ruido del agua y los truenos de fondo una maravilla pero el universo que es tremendo sorete le gusta equilibrar las cosas y por eso a las nueve de la noche se cortó la luz para no volver me quedé un rato largo sentado en el sillón en plan en un momento así solo se puede reír
"Yes it is true: I hate joy. Okay but seriously, of all the movies you could fight about, y'all chose this? This is the movie nobody is allowed to dislike? Are you sure that there weren't any better candidates than La La Land ? I'm honestly confused right now. I can see why it might appeal to some people but at the same time I don't think that it will ever become a classic because it's just not original enough. Sometimes…",negative,negative,negative,yes it is true i hate joy okay but seriously of all the movies you could fight about yall chose this this is the movie nobody is allowed to dislike are you sure that there werent any better candidates than la la land im honestly confused right now i can see why it might appeal to some people but at the same time i dont think that it will ever become a classic because its just not original enough sometimes
HOT TAKE: This is a beautiful film.,positive,positive,positive,hot take this is a beautiful film
is this a horror movie,negative,negative,negative,is this a horror movie
"the ending of this movie sparked a strong and completely new emotional reaction in me, a mix of crying while dancing: cry-dancing, sometimes referred to as ""crancing""?, also known simply and elegantly as ""dying"" (source: me i guess)",positive,positive,positive,the ending of this movie sparked a strong and completely new emotional reaction in me a mix of crying while dancing cry dancing sometimes referred to as crancing also known simply and elegantly as dying source me i guess
How am I happy AND sad ?,positive,positive,negative,how am i happy and sad
i lobe this movie,positive,positive,positive,i lobe this movie
"This happened to me once when I played toontown in 2010. I had a girlfriend who I'd go on the trolley with everyday. Then one day, she gets mad at me... It was trolley tracks and i didn't want to play the game that she wanted to. She voted for a different game and I became erratic. I yelled at her. She left me. Weeks go by, no contact. We had a mutual friend who would tell me how she…",negative,negative,negative,this happened to me once when i played toontown in 2010 i had a girlfriend who id go on the trolley with everyday then one day she gets mad at me it was trolley tracks and i didnt want to play the game that she wanted to she voted for a different game and i became erratic i yelled at her she left me weeks go by no contact we had a mutual friend who would tell me how she
"""I'm Always Gonna Love You."" Quite literally a film that leaves me speechless, never failing to mesmerize me in its romantic story-telling and heartbreaking, yet awe-inspiring, character work and portrait of love. It’s so much more than just another romance film, though. It’s a tender tale of an evolving relationship burdened by dreams of success. An ode to old Hollywood filmmaking with its vibrant use of color and Pulp Fiction-esque production design. Chazelle feels as passionate as I’ve ever seen…",positive,positive,positive,im always gonna love you quite literally a film that leaves me speechless never failing to mesmerize me in its romantic story telling and heartbreaking yet awe inspiring character work and portrait of love it s so much more than just another romance film though it s a tender tale of an evolving relationship burdened by dreams of success an ode to old hollywood filmmaking with its vibrant use of color and pulp fiction esque production design chazelle feels as passionate as i ve ever seen
"Right person, wrong time",negative,negative,negative,right person wrong time
mia is so much stronger than me because if a man barged past me after playing that fuck ass piano i would’ve thrown some hands,negative,positive,negative,mia is so much stronger than me because if a man barged past me after playing that fuck ass piano i would ve thrown some hands
My love for this movie is immeasurable.,positive,positive,positive,my love for this movie is immeasurable
"While I'm an emotional wreck with swollen eyes, this film will hold a special place in my heart",positive,positive,positive,while im an emotional wreck with swollen eyes this film will hold a special place in my heart
"Fair warning, only because a portion of the reviews make it out to be some kind of bright, cheery, optimistic film -- La La Land left me in one of the most profoundly depressed states of any film I've seen this year. I decided to watch it twice tonight and I don't even know why (okay actually I do), because now I'm just despondent.",positive,negative,negative,fair warning only because a portion of the reviews make it out to be some kind of bright cheery optimistic film la la land left me in one of the most profoundly depressed states of any film ive seen this year i decided to watch it twice tonight and i dont even know why okay actually i do because now im just despondent
Ryan Gosling and Emma Stone are the reasons in my humble opinion the masses have gone Ga Ga for La La Land. The It Guy. The It Girl. A romance for the ages. The couple we all love. It's The Notebook without the sappy ending for the millennial generation. Take away Ryan and Emma and I'm betting most of you would give zero fucks about La La Land. La La Land is being sold as the second coming of the…,positive,positive,positive,ryan gosling and emma stone are the reasons in my humble opinion the masses have gone ga ga for la la land the it guy the it girl a romance for the ages the couple we all love its the notebook without the sappy ending for the millennial generation take away ryan and emma and im betting most of you would give zero fucks about la la land la la land is being sold as the second coming of the
filmmaking nearer the gods. perfect film. no notes.,positive,positive,positive,filmmaking nearer the gods perfect film no notes
TIFF 2016 Film #17 Cinema has officially been reborn. La La Land is one of the most enjoyable movie experiences I've ever had. This movie gives me life. It's absolutely electrifying. There's a big musical number before the movie even really starts and at that moment I knew we had a special film on our hands. Emma Stone is coming for that Oscar. Her and Ryan Gosling were dynamite as a pair. We all need to be very thankful that…,positive,positive,positive,tiff 2016 film 17 cinema has officially been reborn la la land is one of the most enjoyable movie experiences ive ever had this movie gives me life its absolutely electrifying theres a big musical number before the movie even really starts and at that moment i knew we had a special film on our hands emma stone is coming for that oscar her and ryan gosling were dynamite as a pair we all need to be very thankful that
you know that scene when they’re walking through the lot and mia stops in to look at one of the sets and she just says “i love it.” yeah that’s me watching this movie,positive,positive,positive,you know that scene when they re walking through the lot and mia stops in to look at one of the sets and she just says i love it yeah that s me watching this movie
in my head i play a supercut of us all the magic we gave off all the love we had and lost and in my head the visions never stop these ribbons wrap me up but when i reach for you there's just a supercut,positive,positive,positive,in my head i play a supercut of us all the magic we gave off all the love we had and lost and in my head the visions never stop these ribbons wrap me up but when i reach for you theres just a supercut
still good still makes me cry,negative,positive,positive,still good still makes me cry
"this is the most personal film ever to me. i don’t think i can or ever will watch this without bursting into floods of tears. i try to watch this once a year as a little check in, as a reminder that this is the film that started it all way back in 2016, the film that made me fall in love with cinema and decide to dedicate my entire life to the art form! watching this every year makes…",positive,positive,positive,this is the most personal film ever to me i don t think i can or ever will watch this without bursting into floods of tears i try to watch this once a year as a little check in as a reminder that this is the film that started it all way back in 2016 the film that made me fall in love with cinema and decide to dedicate my entire life to the art form watching this every year makes
"Yes, black people are used as props. Yes, a white man wants to save a black art form from being tainted by a black man. Yes, he succeeds in this goal. Yes, in a white man’s passionate spiel about the history of jazz, blackness isn’t mentioned once. Yes, a white man fetishizes a black art form from a time where black people were treated like shit (not like we still aren’t). These are annoying but are nowhere near my biggest…",positive,negative,negative,yes black people are used as props yes a white man wants to save a black art form from being tainted by a black man yes he succeeds in this goal yes in a white man s passionate spiel about the history of jazz blackness isn t mentioned once yes a white man fetishizes a black art form from a time where black people were treated like shit not like we still aren t these are annoying but are nowhere near my biggest
pissy caca,positive,negative,negative,pissy caca
"“I’m always gonna love you.” “I’m always gonna love you, too.” Words have meaning. It was a favorite phrase of a professor at my law school (a professor under whom I thankfully did not matriculate, given his reputation), and it is a maxim to which I try my utmost to adhere (though I fail more often than not). If the purpose of language is to communicate meaning, one must choose one’s words carefully and with purpose, lest one be misunderstood…",positive,positive,positive,i m always gonna love you i m always gonna love you too words have meaning it was a favorite phrase of a professor at my law school a professor under whom i thankfully did not matriculate given his reputation and it is a maxim to which i try my utmost to adhere though i fail more often than not if the purpose of language is to communicate meaning one must choose one s words carefully and with purpose lest one be misunderstood
Last night was one of those nights where I couldn’t fall asleep… which is ass. So… La La Land.,negative,negative,negative,last night was one of those nights where i couldn t fall asleep which is ass so la la land
it's like if kidz bop made a jazz album.,positive,negative,negative,its like if kidz bop made a jazz album
“I’m always gonna love you” “I’m always gonna love you too” Okay well just punch me in the face why don’t you,positive,positive,positive,i m always gonna love you i m always gonna love you too okay well just punch me in the face why don t you
It’s just so fucking good.,positive,positive,positive,it s just so fucking good
the perfect film doesn't exi-,positive,positive,negative,the perfect film doesnt exi
is it a thing with male musicians that they start disrespecting their girlfriends when they go professional or does it only happen in damien chazelle films,positive,negative,negative,is it a thing with male musicians that they start disrespecting their girlfriends when they go professional or does it only happen in damien chazelle films
film is unrealistic because on their first date man is interested in + asking her questions instead of incessantly talking about himself,positive,negative,negative,film is unrealistic because on their first date man is interested in asking her questions instead of incessantly talking about himself
Love this films ability to make me feel such profound joy and then make me want to kill myself,positive,positive,positive,love this films ability to make me feel such profound joy and then make me want to kill myself
this is my favorite movie and I don’t care who knows it,positive,positive,positive,this is my favorite movie and i don t care who knows it
"so imagine demy (but, like, only an okay version) directed detention (but, like, only an okay version) and sprinkled on its four corners the blood of badlands (but, like, only an okay version) and wrapped the whole thing up in the hide of bojack horseman (but, like, only an okay version). i adore musicals with all my heart & mind & soul & strength so please know it is with a heavy heart (& mind etc.) i must announce: this is aggressively mediocre.…",positive,negative,negative,so imagine demy but like only an okay version directed detention but like only an okay version and sprinkled on its four corners the blood of badlands but like only an okay version and wrapped the whole thing up in the hide of bojack horseman but like only an okay version i adore musicals with all my heart mind soul strength so please know it is with a heavy heart mind etc i must announce this is aggressively mediocre
"the right person, wrong time trope will always get me",negative,negative,negative,the right person wrong time trope will always get me
watched on the plane (would’ve been rude not to) i laughed i cried i had many epiphanies etc etc,negative,positive,negative,watched on the plane would ve been rude not to i laughed i cried i had many epiphanies etc etc
"""I'm always gonna love you."" ""I'm always gonna love you too.""",positive,positive,positive,im always gonna love you im always gonna love you too
get super emotional every time i see this!!! had the privilege of seeing this for the first time at 11 years old and it made me absolutely fall in love with cinema. i owe the past 8 years of my life to this movie and most importantly the past year which has been one of the most insane years of my life. no matter how old or pretentious i get i will be ride or die for la la land !!!! …,positive,positive,positive,get super emotional every time i see this had the privilege of seeing this for the first time at 11 years old and it made me absolutely fall in love with cinema i owe the past 8 years of my life to this movie and most importantly the past year which has been one of the most insane years of my life no matter how old or pretentious i get i will be ride or die for la la land
"70 Gosh, it sucks that this movie is merely very good, because at its best, La La Land is one of the greatest films about the Hollywood Dream Factory. The dance against the LA skyline, the sunset merging with twilight, colors glowing against the extravagant costuming. Just lovely. Too often it falls into the rut of not embracing the 'musical' element. A film as gorgeous as this should be bouncing off the walls as a full-fledged musical. But the worst…",positive,negative,negative,70 gosh it sucks that this movie is merely very good because at its best la la land is one of the greatest films about the hollywood dream factory the dance against the la skyline the sunset merging with twilight colors glowing against the extravagant costuming just lovely too often it falls into the rut of not embracing the musical element a film as gorgeous as this should be bouncing off the walls as a full fledged musical but the worst
"As the year closes, Chazelle provides the perfect antidote to the ruthless bastard that is 2016. There's a conversation in this film where the superb (easily her career best performance) Emma Stone expresses her fears that the play she wrote could be seen as too old-fashioned by people, to which the fantastic (and jealousy inducing bastard) Ryan Gosling responds with a heartfelt 'Fuck other people!'. This is Chazelle not caring and indulging in what is essentially two hours of movie…",positive,positive,positive,as the year closes chazelle provides the perfect antidote to the ruthless bastard that is 2016 theres a conversation in this film where the superb easily her career best performance emma stone expresses her fears that the play she wrote could be seen as too old fashioned by people to which the fantastic and jealousy inducing bastard ryan gosling responds with a heartfelt fuck other people this is chazelle not caring and indulging in what is essentially two hours of movie
I want Mia and Sebastian's theme to be played at every significant moment in my life,positive,positive,positive,i want mia and sebastians theme to be played at every significant moment in my life
"also, i'm writing this here because i truly don't know where else to put it, but: i don't really get some of the controversy surrounding this film. warning: i'm talkin about race, baby. (so beat it if you're just gonna write ""blugghh stop making race important"") in terms of ""white people talking about jazz,"" sure, that's not GREAT but i don't know if i'd call it or chazelle racist. his first film went under the radar and was about a…",negative,negative,negative,also im writing this here because i truly dont know where else to put it but i dont really get some of the controversy surrounding this film warning im talkin about race baby so beat it if youre just gonna write blugghh stop making race important in terms of white people talking about jazz sure thats not great but i dont know if id call it or chazelle racist his first film went under the radar and was about a
"I kinda want to punch people comparing this to Demy in the face as much as I wanted to punch Gosling’s (whose self-absorption is put to great use here even if I’m not sure it was intentional). That said, the anxiety of failure that runs as undercurrent throughout this does stings some. It is half a prick’s wish-fulfillment fantasy and half a manic depressed nightmare of someone afraid to be exposed and the way those disparate parts run together is curious at least.",negative,negative,negative,i kinda want to punch people comparing this to demy in the face as much as i wanted to punch gosling s whose self absorption is put to great use here even if i m not sure it was intentional that said the anxiety of failure that runs as undercurrent throughout this does stings some it is half a prick s wish fulfillment fantasy and half a manic depressed nightmare of someone afraid to be exposed and the way those disparate parts run together is curious at least
"Jesus Christ I'm so in love with this movie, I've never been in love with anything as much as this. I left the theater sobbing my eyes out and I stopped and looked behind me at the credits and smiled. I fucking love this film.",positive,positive,positive,jesus christ im so in love with this movie ive never been in love with anything as much as this i left the theater sobbing my eyes out and i stopped and looked behind me at the credits and smiled i fucking love this film
"I will never not love La La Land . It is such a special place to come back to whenever I want to be fully immersed by cinema and art, the true meaning of both those things and the power they can hold. Whenever I want to fall in love all over again with the way dreams and love work and how they sometimes just can't both walk together in the same direction. Because that really is how life works. Sometimes…",positive,positive,positive,i will never not love la la land it is such a special place to come back to whenever i want to be fully immersed by cinema and art the true meaning of both those things and the power they can hold whenever i want to fall in love all over again with the way dreams and love work and how they sometimes just cant both walk together in the same direction because that really is how life works sometimes
"The most artless celebration of art I have ever witnessed. Art is basically what a very few people (this film's intended audience of The Academy) get to do for a living in this film. It is undemocratic and mainly nostalgia for the retired. This blatant attempt to funnel this myopic, decrepit worldview through not only one of the premiere genres of freedom, but a story of millennials with no money, having prospects handed to them because they are more nostalgic…",positive,negative,negative,the most artless celebration of art i have ever witnessed art is basically what a very few people this films intended audience of the academy get to do for a living in this film it is undemocratic and mainly nostalgia for the retired this blatant attempt to funnel this myopic decrepit worldview through not only one of the premiere genres of freedom but a story of millennials with no money having prospects handed to them because they are more nostalgic
i think i've seen this film before and i didn't like the ending,negative,negative,negative,i think ive seen this film before and i didnt like the ending
"I'm warning you right the fuck now, if you hate this movie because of all the awards and Oscar buzz it's getting I will block and report you. I'm pretty much unfollowing anyone who gives it under a 4 anyway, but if your only excuse is because it doesn't deserve awards I literally have no respect or care in the world for you. EDIT : I'm joking about the unfollow thing. Don't take it too seriously. Just understand where my…",negative,negative,negative,im warning you right the fuck now if you hate this movie because of all the awards and oscar buzz its getting i will block and report you im pretty much unfollowing anyone who gives it under a 4 anyway but if your only excuse is because it doesnt deserve awards i literally have no respect or care in the world for you edit im joking about the unfollow thing dont take it too seriously just understand where my
"Part of me acknowledges the irony of creating a film about “daring to dream” within Hollywood, the most restrictive, exclusive, unwelcoming system of any artistic medium. I also acknowledge the irony of not taking a risk on two unknowns and instead casting two of the biggest stars in the world, and how much that diminishes the impact of those desired themes. The other part of me knows this is still magical and that the first part of me thinks too much.",positive,positive,negative,part of me acknowledges the irony of creating a film about daring to dream within hollywood the most restrictive exclusive unwelcoming system of any artistic medium i also acknowledge the irony of not taking a risk on two unknowns and instead casting two of the biggest stars in the world and how much that diminishes the impact of those desired themes the other part of me knows this is still magical and that the first part of me thinks too much
"“ La La Land ”, directed by Damien Chazelle, is an absolute triumph that transports the audience to a world of dazzling dreams and sincere emotions. With an enchanting story, captivating performances and mesmerizing musical numbers, this film is a true cinematic gem. By far one of my favorite films. Set against a vibrant Los Angeles backdrop, “ La La Land ” follows the intertwined lives of Mia ( Emma Stone ), an aspiring actress, and Sebastian ( Ryan Gosling ), a passionate jazz musician. From their first…",positive,positive,positive,la la land directed by damien chazelle is an absolute triumph that transports the audience to a world of dazzling dreams and sincere emotions with an enchanting story captivating performances and mesmerizing musical numbers this film is a true cinematic gem by far one of my favorite films set against a vibrant los angeles backdrop la la land follows the intertwined lives of mia emma stone an aspiring actress and sebastian ryan gosling a passionate jazz musician from their first
I just pretend she turns back around I can't deal with it,negative,negative,negative,i just pretend she turns back around i cant deal with it
"[5] Neither outstanding nor horrid. It seems rather puzzling, though, that so much of the project rests on Emma Stone's shoulders. She is a fine actress, particularly adept with comedy, but as Mia she is a mediocre singer and a subpar dancer. (Note how she keeps looking down at her feet, and how she slouches rather than keeping her line.) One could almost understand this if Chazelle's purpose were a sort of pro-am Everyman musical along the lines of Everyone…",negative,negative,negative,5 neither outstanding nor horrid it seems rather puzzling though that so much of the project rests on emma stones shoulders she is a fine actress particularly adept with comedy but as mia she is a mediocre singer and a subpar dancer note how she keeps looking down at her feet and how she slouches rather than keeping her line one could almost understand this if chazelles purpose were a sort of pro am everyman musical along the lines of everyone
"This film is the true definition of a masterpiece. Emma Stone and Ryan Gosling acting together is pure magic. I'll never forget the first time I watched this in cinema back in 2016. I had just gone through an experience of what I thought was ""right person, wrong time"". So, the ending hit me like a ton of bricks back then and immediately brought tears to my eyes. I've seen it multiple times since then, and the ending still gets me. Sebastian Wilder will forever be one of my favorite film characters of all time.",positive,positive,positive,this film is the true definition of a masterpiece emma stone and ryan gosling acting together is pure magic ill never forget the first time i watched this in cinema back in 2016 i had just gone through an experience of what i thought was right person wrong time so the ending hit me like a ton of bricks back then and immediately brought tears to my eyes ive seen it multiple times since then and the ending still gets me sebastian wilder will forever be one of my favorite film characters of all time
i still lobe this movie,positive,positive,positive,i still lobe this movie
Pregaming for Babylon,positive,negative,positive,pregaming for babylon
"Yeah, this is the best movie ever.",positive,positive,positive,yeah this is the best movie ever
ryan gosling and emma stone can have all of my money if they agree to tap dance on my grave at my funeral,negative,negative,negative,ryan gosling and emma stone can have all of my money if they agree to tap dance on my grave at my funeral
"Here's to the ones who dream, baby",positive,positive,positive,heres to the ones who dream baby
yep mm hmm still crying,negative,negative,negative,yep mm hmm still crying
